"Region","Year","Gender","Location of Placement","Type of Placement","Measure Type","Variable","Value"
"Region 1: Southwest","SFY 2004-2005","Male","In State","PDC or Safe Home","Number","Children in Placement",8
"Region 1: Southwest","SFY 2004-2005","Male","In State","Shelter","Number","Children in Placement",6
"Region 1: Southwest","SFY 2004-2005","Male","In State","Group Home","Number","Children in Placement",27
"Region 1: Southwest","SFY 2004-2005","Male","In State","Residential Treatment Center","Number","Children in Placement",36
"Region 1: Southwest","SFY 2004-2005","Male","In State","High Meadows","Number","Children in Placement",4
"Region 1: Southwest","SFY 2004-2005","Male","In State","Solnit Center","Number","Children in Placement",5
"Region 1: Southwest","SFY 2004-2005","Male","In State","Connecticut Juvenile Training School","Number","Children in Placement",1
"Region 1: Southwest","SFY 2004-2005","Male","In State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","Male","In State","Independent Living","Number","Children in Placement",4
"Region 1: Southwest","SFY 2004-2005","Male","In State","Total","Number","Children in Placement",313
"Region 1: Southwest","SFY 2004-2005","Male","Out of State","Foster Care","Number","Children in Placement",9
"Region 1: Southwest","SFY 2004-2005","Male","Out of State","Relative Foster Care","Number","Children in Placement",4
"Region 1: Southwest","SFY 2004-2005","Male","Out of State","Special Study","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","Male","Out of State","Therapeutic Foster Care","Number","Children in Placement",8
"Region 1: Southwest","SFY 2004-2005","Male","Out of State","PDC or Safe Home","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","Male","Out of State","Shelter","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","Male","Out of State","Group Home","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","Male","Out of State","Residential Treatment Center","Number","Children in Placement",32
"Region 1: Southwest","SFY 2004-2005","Male","Out of State","High Meadows","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","Male","Out of State","Solnit Center","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","Male","Out of State","Connecticut Juvenile Training School","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","Male","Out of State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",1
"Region 1: Southwest","SFY 2004-2005","Male","Out of State","Independent Living","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","Male","Out of State","Total","Number","Children in Placement",54
"Region 1: Southwest","SFY 2004-2005","Total","In State","Foster Care","Number","Children in Placement",257
"Region 1: Southwest","SFY 2004-2005","Total","In State","Relative Foster Care","Number","Children in Placement",138
"Region 1: Southwest","SFY 2004-2005","Total","In State","Special Study","Number","Children in Placement",19
"Region 1: Southwest","SFY 2004-2005","Total","In State","Therapeutic Foster Care","Number","Children in Placement",56
"Region 1: Southwest","SFY 2004-2005","Total","In State","PDC or Safe Home","Number","Children in Placement",18
"Region 1: Southwest","SFY 2004-2005","Total","In State","Shelter","Number","Children in Placement",12
"Region 1: Southwest","SFY 2004-2005","Total","In State","Group Home","Number","Children in Placement",41
"Region 1: Southwest","SFY 2004-2005","Total","In State","Residential Treatment Center","Number","Children in Placement",60
"Region 1: Southwest","SFY 2004-2005","Total","In State","High Meadows","Number","Children in Placement",5
"Region 1: Southwest","SFY 2004-2005","Total","In State","Solnit Center","Number","Children in Placement",10
"Region 1: Southwest","SFY 2004-2005","Total","In State","Connecticut Juvenile Training School","Number","Children in Placement",1
"Region 1: Southwest","SFY 2004-2005","Total","In State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",3
"Region 1: Southwest","SFY 2004-2005","Total","In State","Independent Living","Number","Children in Placement",11
"Region 1: Southwest","SFY 2004-2005","Total","In State","Total","Number","Children in Placement",631
"Region 1: Southwest","SFY 2004-2005","Total","Out of State","Foster Care","Number","Children in Placement",19
"Region 1: Southwest","SFY 2004-2005","Total","Out of State","Relative Foster Care","Number","Children in Placement",10
"Region 1: Southwest","SFY 2004-2005","Total","Out of State","Special Study","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","Total","Out of State","Therapeutic Foster Care","Number","Children in Placement",11
"Region 1: Southwest","SFY 2004-2005","Total","Out of State","PDC or Safe Home","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","Total","Out of State","Shelter","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","Total","Out of State","Group Home","Number","Children in Placement",1
"Region 1: Southwest","SFY 2004-2005","Total","Out of State","Residential Treatment Center","Number","Children in Placement",56
"Region 1: Southwest","SFY 2004-2005","Total","Out of State","High Meadows","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","Total","Out of State","Solnit Center","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","Total","Out of State","Connecticut Juvenile Training School","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","Total","Out of State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",1
"Region 1: Southwest","SFY 2004-2005","Total","Out of State","Independent Living","Number","Children in Placement",0
"Region 1: Southwest","SFY 2004-2005","Total","Out of State","Total","Number","Children in Placement",98
"Region 1: Southwest","SFY 2005-2006","Female","In State","Foster Care","Number","Children in Placement",124
"Region 1: Southwest","SFY 2005-2006","Female","In State","Relative Foster Care","Number","Children in Placement",83
"Region 1: Southwest","SFY 2005-2006","Female","In State","Special Study","Number","Children in Placement",6
"Region 1: Southwest","SFY 2005-2006","Female","In State","Therapeutic Foster Care","Number","Children in Placement",41
"Region 1: Southwest","SFY 2005-2006","Female","In State","PDC or Safe Home","Number","Children in Placement",8
"Region 1: Southwest","SFY 2005-2006","Female","In State","Shelter","Number","Children in Placement",5
"Region 1: Southwest","SFY 2005-2006","Female","In State","Group Home","Number","Children in Placement",17
"Region 1: Southwest","SFY 2005-2006","Female","In State","Residential Treatment Center","Number","Children in Placement",38
"Region 1: Southwest","SFY 2005-2006","Female","In State","High Meadows","Number","Children in Placement",4
"Region 1: Southwest","SFY 2005-2006","Female","In State","Solnit Center","Number","Children in Placement",3
"Region 1: Southwest","SFY 2005-2006","Female","In State","Connecticut Juvenile Training School","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","Female","In State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",2
"Region 1: Southwest","SFY 2005-2006","Female","In State","Independent Living","Number","Children in Placement",10
"Region 1: Southwest","SFY 2005-2006","Female","In State","Total","Number","Children in Placement",341
"Region 1: Southwest","SFY 2005-2006","Female","Out of State","Foster Care","Number","Children in Placement",7
"Region 1: Southwest","SFY 2005-2006","Female","Out of State","Relative Foster Care","Number","Children in Placement",6
"Region 1: Southwest","SFY 2005-2006","Female","Out of State","Special Study","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","Female","Out of State","Therapeutic Foster Care","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","Female","Out of State","PDC or Safe Home","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","Female","Out of State","Shelter","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","Female","Out of State","Group Home","Number","Children in Placement",2
"Region 1: Southwest","SFY 2005-2006","Female","Out of State","Residential Treatment Center","Number","Children in Placement",10
"Region 1: Southwest","SFY 2005-2006","Female","Out of State","High Meadows","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","Female","Out of State","Solnit Center","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","Female","Out of State","Connecticut Juvenile Training School","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","Female","Out of State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",1
"Region 1: Southwest","SFY 2005-2006","Female","Out of State","Independent Living","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","Female","Out of State","Total","Number","Children in Placement",26
"Region 1: Southwest","SFY 2005-2006","Male","In State","Foster Care","Number","Children in Placement",126
"Region 1: Southwest","SFY 2005-2006","Male","In State","Relative Foster Care","Number","Children in Placement",69
"Region 1: Southwest","SFY 2005-2006","Male","In State","Special Study","Number","Children in Placement",17
"Region 1: Southwest","SFY 2005-2006","Male","In State","Therapeutic Foster Care","Number","Children in Placement",48
"Region 1: Southwest","SFY 2005-2006","Male","In State","PDC or Safe Home","Number","Children in Placement",8
"Region 1: Southwest","SFY 2005-2006","Male","In State","Shelter","Number","Children in Placement",11
"Region 1: Southwest","SFY 2005-2006","Male","In State","Group Home","Number","Children in Placement",28
"Region 1: Southwest","SFY 2005-2006","Male","In State","Residential Treatment Center","Number","Children in Placement",37
"Region 1: Southwest","SFY 2005-2006","Male","In State","High Meadows","Number","Children in Placement",1
"Region 1: Southwest","SFY 2005-2006","Male","In State","Solnit Center","Number","Children in Placement",4
"Region 1: Southwest","SFY 2005-2006","Male","In State","Connecticut Juvenile Training School","Number","Children in Placement",7
"Region 1: Southwest","SFY 2005-2006","Male","In State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",2
"Region 1: Southwest","SFY 2005-2006","Male","In State","Independent Living","Number","Children in Placement",3
"Region 1: Southwest","SFY 2005-2006","Male","In State","Total","Number","Children in Placement",361
"Region 1: Southwest","SFY 2005-2006","Male","Out of State","Foster Care","Number","Children in Placement",3
"Region 1: Southwest","SFY 2005-2006","Male","Out of State","Relative Foster Care","Number","Children in Placement",5
"Region 1: Southwest","SFY 2005-2006","Male","Out of State","Special Study","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","Male","Out of State","Therapeutic Foster Care","Number","Children in Placement",1
"Region 1: Southwest","SFY 2005-2006","Male","Out of State","PDC or Safe Home","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","Male","Out of State","Shelter","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","Male","Out of State","Group Home","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","Male","Out of State","Residential Treatment Center","Number","Children in Placement",25
"Region 1: Southwest","SFY 2005-2006","Male","Out of State","High Meadows","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","Male","Out of State","Solnit Center","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","Male","Out of State","Connecticut Juvenile Training School","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","Male","Out of State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","Male","Out of State","Independent Living","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","Male","Out of State","Total","Number","Children in Placement",34
"Region 1: Southwest","SFY 2005-2006","Total","In State","Foster Care","Number","Children in Placement",250
"Region 1: Southwest","SFY 2005-2006","Total","In State","Relative Foster Care","Number","Children in Placement",152
"Region 1: Southwest","SFY 2005-2006","Total","In State","Special Study","Number","Children in Placement",23
"Region 1: Southwest","SFY 2005-2006","Total","In State","Therapeutic Foster Care","Number","Children in Placement",89
"Region 1: Southwest","SFY 2005-2006","Total","In State","PDC or Safe Home","Number","Children in Placement",16
"Region 1: Southwest","SFY 2005-2006","Total","In State","Shelter","Number","Children in Placement",16
"Region 1: Southwest","SFY 2005-2006","Total","In State","Group Home","Number","Children in Placement",45
"Region 1: Southwest","SFY 2005-2006","Total","In State","Residential Treatment Center","Number","Children in Placement",75
"Region 1: Southwest","SFY 2005-2006","Total","In State","High Meadows","Number","Children in Placement",5
"Region 1: Southwest","SFY 2005-2006","Total","In State","Solnit Center","Number","Children in Placement",7
"Region 1: Southwest","SFY 2005-2006","Total","In State","Connecticut Juvenile Training School","Number","Children in Placement",7
"Region 1: Southwest","SFY 2005-2006","Total","In State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",4
"Region 1: Southwest","SFY 2005-2006","Total","In State","Independent Living","Number","Children in Placement",13
"Region 1: Southwest","SFY 2005-2006","Total","In State","Total","Number","Children in Placement",702
"Region 1: Southwest","SFY 2005-2006","Total","Out of State","Foster Care","Number","Children in Placement",10
"Region 1: Southwest","SFY 2005-2006","Total","Out of State","Relative Foster Care","Number","Children in Placement",11
"Region 1: Southwest","SFY 2005-2006","Total","Out of State","Special Study","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","Total","Out of State","Therapeutic Foster Care","Number","Children in Placement",1
"Region 1: Southwest","SFY 2005-2006","Total","Out of State","PDC or Safe Home","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","Total","Out of State","Shelter","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","Total","Out of State","Group Home","Number","Children in Placement",2
"Region 1: Southwest","SFY 2005-2006","Total","Out of State","Residential Treatment Center","Number","Children in Placement",35
"Region 1: Southwest","SFY 2005-2006","Total","Out of State","High Meadows","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","Total","Out of State","Solnit Center","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","Total","Out of State","Connecticut Juvenile Training School","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","Total","Out of State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",1
"Region 1: Southwest","SFY 2005-2006","Total","Out of State","Independent Living","Number","Children in Placement",0
"Region 1: Southwest","SFY 2005-2006","Total","Out of State","Total","Number","Children in Placement",60
"Region 1: Southwest","SFY 2006-2007","Female","In State","Foster Care","Number","Children in Placement",101
"Region 1: Southwest","SFY 2006-2007","Female","In State","Relative Foster Care","Number","Children in Placement",69
"Region 1: Southwest","SFY 2006-2007","Female","In State","Special Study","Number","Children in Placement",17
"Region 1: Southwest","SFY 2006-2007","Female","In State","Therapeutic Foster Care","Number","Children in Placement",43
"Region 1: Southwest","SFY 2006-2007","Female","In State","PDC or Safe Home","Number","Children in Placement",4
"Region 1: Southwest","SFY 2006-2007","Female","In State","Shelter","Number","Children in Placement",3
"Region 1: Southwest","SFY 2006-2007","Female","In State","Group Home","Number","Children in Placement",15
"Region 1: Southwest","SFY 2006-2007","Female","In State","Residential Treatment Center","Number","Children in Placement",36
"Region 1: Southwest","SFY 2006-2007","Female","In State","High Meadows","Number","Children in Placement",3
"Region 1: Southwest","SFY 2006-2007","Female","In State","Solnit Center","Number","Children in Placement",5
"Region 1: Southwest","SFY 2006-2007","Female","In State","Connecticut Juvenile Training School","Number","Children in Placement",0
"Region 1: Southwest","SFY 2006-2007","Female","In State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",1
"Region 1: Southwest","SFY 2006-2007","Female","In State","Independent Living","Number","Children in Placement",15
"Region 1: Southwest","SFY 2006-2007","Female","In State","Total","Number","Children in Placement",312
"Region 1: Southwest","SFY 2006-2007","Female","Out of State","Foster Care","Number","Children in Placement",6
"Region 1: Southwest","SFY 2006-2007","Female","Out of State","Relative Foster Care","Number","Children in Placement",7
"Region 1: Southwest","SFY 2006-2007","Female","Out of State","Special Study","Number","Children in Placement",0
"Region 1: Southwest","SFY 2006-2007","Female","Out of State","Therapeutic Foster Care","Number","Children in Placement",0
"Region 1: Southwest","SFY 2006-2007","Female","Out of State","PDC or Safe Home","Number","Children in Placement",0
"Region 1: Southwest","SFY 2006-2007","Female","Out of State","Shelter","Number","Children in Placement",0
"Region 1: Southwest","SFY 2006-2007","Female","Out of State","Group Home","Number","Children in Placement",0
"Region 1: Southwest","SFY 2006-2007","Female","Out of State","Residential Treatment Center","Number","Children in Placement",6
"Region 1: Southwest","SFY 2006-2007","Female","Out of State","High Meadows","Number","Children in Placement",0
"Region 1: Southwest","SFY 2006-2007","Female","Out of State","Solnit Center","Number","Children in Placement",0
"Region 1: Southwest","SFY 2006-2007","Female","Out of State","Connecticut Juvenile Training School","Number","Children in Placement",0
"Region 1: Southwest","SFY 2006-2007","Female","Out of State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",0
"Region 1: Southwest","SFY 2006-2007","Female","Out of State","Independent Living","Number","Children in Placement",0
"Region 1: Southwest","SFY 2006-2007","Female","Out of State","Total","Number","Children in Placement",19
"Region 1: Southwest","SFY 2006-2007","Male","In State","Foster Care","Number","Children in Placement",97
"Region 1: Southwest","SFY 2006-2007","Male","In State","Relative Foster Care","Number","Children in Placement",84
"Region 1: Southwest","SFY 2006-2007","Male","In State","Special Study","Number","Children in Placement",16
"Region 1: Southwest","SFY 2006-2007","Male","In State","Therapeutic Foster Care","Number","Children in Placement",41
"Region 1: Southwest","SFY 2006-2007","Male","In State","PDC or Safe Home","Number","Children in Placement",7
"Region 1: Southwest","SFY 2006-2007","Male","In State","Shelter","Number","Children in Placement",5
"Region 1: Southwest","SFY 2006-2007","Male","In State","Group Home","Number","Children in Placement",26
"Region 1: Southwest","SFY 2006-2007","Male","In State","Residential Treatment Center","Number","Children in Placement",31
"Region 1: Southwest","SFY 2006-2007","Male","In State","High Meadows","Number","Children in Placement",1
"Region 1: Southwest","SFY 2006-2007","Male","In State","Solnit Center","Number","Children in Placement",4
"Region 1: Southwest","SFY 2006-2007","Male","In State","Connecticut Juvenile Training School","Number","Children in Placement",9
"Region 1: Southwest","SFY 2006-2007","Male","In State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",1
"Region 1: Southwest","SFY 2006-2007","Male","In State","Independent Living","Number","Children in Placement",6
"Region 1: Southwest","SFY 2006-2007","Male","In State","Total","Number","Children in Placement",328
"Region 1: Southwest","SFY 2006-2007","Male","Out of State","Foster Care","Number","Children in Placement",1
"Region 1: Southwest","SFY 2006-2007","Male","Out of State","Relative Foster Care","Number","Children in Placement",6
"Region 1: Southwest","SFY 2006-2007","Male","Out of State","Special Study","Number","Children in Placement",0
"Region 1: Southwest","SFY 2006-2007","Male","Out of State","Therapeutic Foster Care","Number","Children in Placement",1
"Region 1: Southwest","SFY 2006-2007","Male","Out of State","PDC or Safe Home","Number","Children in Placement",0
"Region 1: Southwest","SFY 2006-2007","Male","Out of State","Shelter","Number","Children in Placement",0
"Region 1: Southwest","SFY 2006-2007","Male","Out of State","Group Home","Number","Children in Placement",1
"Region 1: Southwest","SFY 2006-2007","Male","Out of State","Residential Treatment Center","Number","Children in Placement",29
"Region 1: Southwest","SFY 2006-2007","Male","Out of State","High Meadows","Number","Children in Placement",0
"Region 1: Southwest","SFY 2006-2007","Male","Out of State","Solnit Center","Number","Children in Placement",0
"Region 1: Southwest","SFY 2006-2007","Male","Out of State","Connecticut Juvenile Training School","Number","Children in Placement",0
"Region 1: Southwest","SFY 2006-2007","Male","Out of State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",0
"Region 1: Southwest","SFY 2006-2007","Male","Out of State","Independent Living","Number","Children in Placement",0
"Region 1: Southwest","SFY 2006-2007","Male","Out of State","Total","Number","Children in Placement",38
"Region 1: Southwest","SFY 2006-2007","Total","In State","Foster Care","Number","Children in Placement",198
"Region 1: Southwest","SFY 2006-2007","Total","In State","Relative Foster Care","Number","Children in Placement",153
"Region 1: Southwest","SFY 2006-2007","Total","In State","Special Study","Number","Children in Placement",33
"Region 1: Southwest","SFY 2006-2007","Total","In State","Therapeutic Foster Care","Number","Children in Placement",84
"Region 1: Southwest","SFY 2006-2007","Total","In State","PDC or Safe Home","Number","Children in Placement",11
"Region 1: Southwest","SFY 2006-2007","Total","In State","Shelter","Number","Children in Placement",8
"Region 1: Southwest","SFY 2006-2007","Total","In State","Group Home","Number","Children in Placement",41
"Region 1: Southwest","SFY 2006-2007","Total","In State","Residential Treatment Center","Number","Children in Placement",67
"Region 1: Southwest","SFY 2006-2007","Total","In State","High Meadows","Number","Children in Placement",4
"Region 1: Southwest","SFY 2006-2007","Total","In State","Solnit Center","Number","Children in Placement",9
"Region 1: Southwest","SFY 2006-2007","Total","In State","Connecticut Juvenile Training School","Number","Children in Placement",9
"Region 1: Southwest","SFY 2006-2007","Total","In State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",2
"Region 1: Southwest","SFY 2006-2007","Total","In State","Independent Living","Number","Children in Placement",21
"Region 1: Southwest","SFY 2006-2007","Total","In State","Total","Number","Children in Placement",640
"Region 1: Southwest","SFY 2006-2007","Total","Out of State","Foster Care","Number","Children in Placement",7
"Region 1: Southwest","SFY 2006-2007","Total","Out of State","Relative Foster Care","Number","Children in Placement",13
"Region 1: Southwest","SFY 2006-2007","Total","Out of State","Special Study","Number","Children in Placement",0
"Region 1: Southwest","SFY 2006-2007","Total","Out of State","Therapeutic Foster Care","Number","Children in Placement",1
"Region 1: Southwest","SFY 2006-2007","Total","Out of State","PDC or Safe Home","Number","Children in Placement",0
"Region 1: Southwest","SFY 2006-2007","Total","Out of State","Shelter","Number","Children in Placement",0
"Region 1: Southwest","SFY 2006-2007","Total","Out of State","Group Home","Number","Children in Placement",1
"Region 1: Southwest","SFY 2006-2007","Total","Out of State","Residential Treatment Center","Number","Children in Placement",35
"Region 1: Southwest","SFY 2006-2007","Total","Out of State","High Meadows","Number","Children in Placement",0
"Region 1: Southwest","SFY 2006-2007","Total","Out of State","Solnit Center","Number","Children in Placement",0
"Region 1: Southwest","SFY 2006-2007","Total","Out of State","Connecticut Juvenile Training School","Number","Children in Placement",0
"Region 1: Southwest","SFY 2006-2007","Total","Out of State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",0
"Region 1: Southwest","SFY 2006-2007","Total","Out of State","Independent Living","Number","Children in Placement",0
"Region 1: Southwest","SFY 2006-2007","Total","Out of State","Total","Number","Children in Placement",57
"Region 1: Southwest","SFY 2007-2008","Female","In State","Foster Care","Number","Children in Placement",99
"Region 1: Southwest","SFY 2007-2008","Female","In State","Relative Foster Care","Number","Children in Placement",60
"Region 1: Southwest","SFY 2007-2008","Female","In State","Special Study","Number","Children in Placement",12
"Region 1: Southwest","SFY 2007-2008","Female","In State","Therapeutic Foster Care","Number","Children in Placement",41
"Region 1: Southwest","SFY 2007-2008","Female","In State","PDC or Safe Home","Number","Children in Placement",4
"Region 1: Southwest","SFY 2007-2008","Female","In State","Shelter","Number","Children in Placement",5
"Region 1: Southwest","SFY 2007-2008","Female","In State","Group Home","Number","Children in Placement",21
"Region 1: Southwest","SFY 2007-2008","Female","In State","Residential Treatment Center","Number","Children in Placement",20
"Region 1: Southwest","SFY 2007-2008","Female","In State","High Meadows","Number","Children in Placement",1
"Region 1: Southwest","SFY 2007-2008","Female","In State","Solnit Center","Number","Children in Placement",4
"Region 1: Southwest","SFY 2007-2008","Female","In State","Connecticut Juvenile Training School","Number","Children in Placement",0
"Region 1: Southwest","SFY 2007-2008","Female","In State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",0
"Region 1: Southwest","SFY 2007-2008","Female","In State","Independent Living","Number","Children in Placement",11
"Region 1: Southwest","SFY 2007-2008","Female","In State","Total","Number","Children in Placement",278
"Region 1: Southwest","SFY 2007-2008","Female","Out of State","Foster Care","Number","Children in Placement",3
"Region 1: Southwest","SFY 2007-2008","Female","Out of State","Relative Foster Care","Number","Children in Placement",6
"Region 1: Southwest","SFY 2007-2008","Female","Out of State","Special Study","Number","Children in Placement",0
"Region 1: Southwest","SFY 2007-2008","Female","Out of State","Therapeutic Foster Care","Number","Children in Placement",0
"Region 1: Southwest","SFY 2007-2008","Female","Out of State","PDC or Safe Home","Number","Children in Placement",0
"Region 1: Southwest","SFY 2007-2008","Female","Out of State","Shelter","Number","Children in Placement",0
"Region 1: Southwest","SFY 2007-2008","Female","Out of State","Group Home","Number","Children in Placement",0
"Region 1: Southwest","SFY 2007-2008","Female","Out of State","Residential Treatment Center","Number","Children in Placement",8
"Region 1: Southwest","SFY 2007-2008","Female","Out of State","High Meadows","Number","Children in Placement",0
"Region 1: Southwest","SFY 2007-2008","Female","Out of State","Solnit Center","Number","Children in Placement",0
"Region 1: Southwest","SFY 2007-2008","Female","Out of State","Connecticut Juvenile Training School","Number","Children in Placement",0
"Region 1: Southwest","SFY 2007-2008","Female","Out of State","Medical or Psychiatric Hospital Placement","Number","Children in Placement",0
"Region 1: Southwest","SFY 2007-2008","Female","Out of State","Independent Living","Number","Children in Placement",0
"Region 1: Southwest","SFY 2007-2008","Female","Out of State","Total","Number","Children in Placement",17
"Region 1: Southwest","SFY 2007-2008","Male","In State","Foster Care","Number","Children in Placement",112
"Region 1: Southwest","SFY 2007-2008","Male","In State","Relative Foster Care","Number","Children in Placement",42
"Region 1: Southwest","SFY 2007-2008","Male","In State","Special Study","Number","Children in Placement",11
"Region 1: Southwest","SFY 2007-2008","Male","In State","Therapeutic Foster Care","Number","Children in Placement",33
"Region 1: Southwest","SFY 2007-2008","Male","In State","PDC or Safe Home","Number","Children in Placement",5
"Region 1: Southwest","SFY 2007-2008","Male","In State","Shelter","Number","Children in Placement",3
"Region 1: Southwest","SFY 2007-2008","Male","In State","Group Home","Number","Children in Placement",36
"Region 1: Southwest","SFY 2007-2008","Male","In State","Residential Treatment Center","Number","Children in Placement",31
